(s),(mm),(kgf)
62.5,2.08279,7.08679
62.6,2.08594,7.09431
62.7,2.0892,7.10256
62.8,2.09267,7.1124
62.9,2.09588,7.12001
63,2.09922,7.12883
63.1,2.10277,7.13891
63.2,2.10603,7.14727
63.3,2.10918,7.15463
63.4,2.11284,7.16523
63.5,2.11603,7.17267
63.6,2.11932,7.1809
63.7,2.12274,7.1892
63.8,2.12613,7.19835
63.9,2.12918,7.20449
64,2.13261,7.21387
64.1,2.13591,7.22184
64.2,2.13927,7.23007
64.3,2.14258,7.23812
64.4,2.14606,7.24719
64.5,2.14926,7.25494
64.6,2.15252,7.26251
64.7,2.15599,7.27189
64.8,2.15953,7.28132
64.9,2.16268,7.28824
65,2.16595,7.29629
65.1,2.16947,7.30583
65.2,2.17257,7.31176
65.3,2.17587,7.31983
65.4,2.17935,7.32935
65.5,2.18266,7.33709
65.6,2.18577,7.34391
65.7,2.1894,7.35496
65.8,2.19261,7.36186
65.9,2.19592,7.37006
66,2.19936,7.37871
66.1,2.20284,7.38765
66.2,2.20592,7.39399
66.3,2.20939,7.40312
66.4,2.21271,7.41097
66.5,2.21603,7.41837
66.6,2.21928,7.42563
66.7,2.22265,7.43397
66.8,2.22593,7.44144
66.9,2.22919,7.44912
67,2.23264,7.45699
67.1,2.23608,7.46602
67.2,2.23922,7.47264
67.3,2.24254,7.48013
67.4,2.24612,7.48926
67.5,2.24931,7.49587
67.6,2.25262,7.50374
67.7,2.25615,7.51249
67.8,2.2594,7.5198
67.9,2.26246,7.52583
68,2.26602,7.53527
68.1,2.26925,7.54203
68.2,2.27252,7.54941
68.3,2.276,7.55828
68.4,2.27936,7.56635
68.5,2.28251,7.57296
68.6,2.28597,7.58156
68.7,2.28936,7.58979
68.8,2.29278,7.59768
68.9,2.29604,7.60403
69,2.29934,7.6115
69.1,2.3027,7.61994
69.2,2.30596,7.62707
69.3,2.30929,7.63461
69.4,2.31271,7.64314
69.5,2.31592,7.64996
69.6,2.31918,7.657
69.7,2.32277,7.6664
69.8,2.32587,7.67243
69.9,2.32921,7.68022
70,2.33283,7.68966
70.1,2.3361,7.69695
70.2,2.33922,7.70222
70.3,2.34276,7.71172
70.4,2.34603,7.71798
70.5,2.34928,7.72521
70.6,2.35264,7.73243
70.7,2.35603,7.74044
70.8,2.35914,7.74627
70.9,2.36258,7.75402
71,2.36597,7.76212
71.1,2.36938,7.76914
71.2,2.37258,7.77517
71.3,2.37604,7.78303
71.4,2.37933,7.79027
71.5,2.38259,7.79597
71.6,2.38598,7.80358
71.7,2.38952,7.81182
71.8,2.39271,7.81755
71.9,2.39589,7.82301
72,2.39938,7.83161
72.1,2.4025,7.8373
72.2,2.40586,7.84406
72.3,2.40944,7.85256
72.4,2.41273,7.85922
72.5,2.41578,7.86393
72.6,2.41939,7.87285
72.7,2.42267,7.87873
72.8,2.42603,7.88538
72.9,2.42939,7.89189
73,2.43283,7.89936
73.1,2.43592,7.90392
73.2,2.43921,7.91001
73.3,2.44264,7.91738
73.4,2.44601,7.92421
73.5,2.44921,7.92918
73.6,2.4526,7.93638
73.7,2.45599,7.94334
73.8,2.45917,7.94834
73.9,2.46256,7.95502
74,2.46616,7.96305
74.1,2.46937,7.96832
74.2,2.47262,7.9734
74.3,2.47611,7.98127
74.4,2.47927,7.98607
74.5,2.48263,7.99257
74.6,2.48606,7.99916
74.7,2.48936,8.00541
74.8,2.4924,8.00948
74.9,2.49601,8.01767
75,2.49929,8.02381
75.1,2.50267,8.03093
75.2,2.50596,8.0364
75.3,2.50945,8.04368
75.4,2.51264,8.04876
75.5,2.51598,8.05455
75.6,2.51933,8.06038
75.7,2.52282,8.06772
75.8,2.526,8.07193
75.9,2.52927,8.07741
76,2.53271,8.08461
76.1,2.53581,8.08896
76.2,2.53917,8.095
76.3,2.54273,8.10259
76.4,2.546,8.10769
76.5,2.54913,8.11268
76.6,2.55274,8.12065
76.7,2.55595,8.12534
76.8,2.5593,8.13118
76.9,2.56278,8.13816
77,2.56617,8.1441
77.1,2.5692,8.14734
77.2,2.57271,8.15504
77.3,2.57597,8.1602
77.4,2.57923,8.16526
77.5,2.58253,8.17095
77.6,2.58604,8.1782
77.7,2.58922,8.18277
77.8,2.5926,8.1886
77.9,2.59593,8.1948
78,2.59944,8.20173
78.1,2.60262,8.20567
78.2,2.606,8.21102
78.3,2.60951,8.21847
78.4,2.61265,8.22264
78.5,2.61595,8.22821
78.6,2.61945,8.23425
78.7,2.62267,8.23862
78.8,2.62576,8.24284
78.9,2.62938,8.25065
79,2.63259,8.25528
79.1,2.63592,8.2603
79.2,2.63933,8.26608
79.3,2.64277,8.27185
79.4,2.64583,8.27515
79.5,2.64934,8.28209
79.6,2.65274,8.28763
79.7,2.65602,8.29269
79.8,2.65931,8.2971
79.9,2.66268,8.30243
80,2.66595,8.3071
80.1,2.6692,8.31119
80.2,2.6726,8.31708
80.3,2.67606,8.32292
80.4,2.67925,8.32588
80.5,2.68252,8.33058
80.6,2.68606,8.33697
80.7,2.68928,8.34103
80.8,2.69263,8.34651
80.9,2.69624,8.3536
81,2.6994,8.35661
81.1,2.70249,8.359
81.2,2.70609,8.36585
81.3,2.70935,8.36975
81.4,2.71253,8.37306
81.5,2.716,8.37908
81.6,2.71936,8.38403
81.7,2.72248,8.38688
81.8,2.72599,8.39265
81.9,2.72932,8.39737
82,2.73269,8.40231
82.1,2.73599,8.40594
82.2,2.73941,8.41155
82.3,2.74269,8.41537
82.4,2.74593,8.41978
82.5,2.74933,8.42531
82.6,2.75275,8.43006
82.7,2.75592,8.43369
82.8,2.75918,8.43774
82.9,2.76267,8.44388
83,2.76585,8.44702
83.1,2.76924,8.45227
83.2,2.77277,8.458
83.3,2.77602,8.46128
83.4,2.77917,8.46376
83.5,2.78274,8.47059
83.6,2.78607,8.4752
83.7,2.7893,8.4785
83.8,2.79271,8.48344
83.9,2.79611,8.48868
84,2.79923,8.4916
84.1,2.80252,8.49624
84.2,2.80595,8.50146
84.3,2.80938,8.50651
84.4,2.81259,8.5101
84.5,2.81598,8.51513
84.6,2.81929,8.51974
84.7,2.8226,8.52371
84.8,2.82599,8.52926
84.9,2.82959,8.53498
85,2.83264,8.53662
85.1,2.83591,8.54033
85.2,2.83942,8.5466
85.3,2.84258,8.5491
85.4,2.84586,8.55372
85.5,2.84938,8.55951
85.6,2.85267,8.56295
85.7,2.85577,8.5659
85.8,2.85935,8.57202
85.9,2.86261,8.57581
86,2.86595,8.58079
86.1,2.86937,8.58567
86.2,2.87287,8.59106
86.3,2.87597,8.59356
86.4,2.87922,8.59645
86.5,2.88268,8.60178
86.6,2.88611,8.60711
86.7,2.88927,8.6097
86.8,2.89257,8.61352
86.9,2.89596,8.61887
87,2.89921,8.62258
87.1,2.90255,8.62654
87.2,2.9061,8.63277
87.3,2.90934,8.6364
87.4,2.91255,8.63926
87.5,2.91615,8.64576
87.6,2.91935,8.64771
87.7,2.92262,8.65161
87.8,2.92611,8.65602
87.9,2.92946,8.66054
88,2.9325,8.6622
88.1,2.93599,8.66767
88.2,2.93924,8.671
88.3,2.94256,8.67538
88.4,2.94591,8.67874
88.5,2.94945,8.6839
88.6,2.95256,8.68627
88.7,2.95589,8.68982
88.8,2.95934,8.69537
88.9,2.96281,8.69973
89,2.96599,8.70193
89.1,2.96931,8.70529
89.2,2.97278,8.71026
89.3,2.9759,8.71185
89.4,2.97923,8.71542
89.5,2.98269,8.72024
89.6,2.98597,8.72296
89.7,2.98912,8.7245
89.8,2.99275,8.73092
89.9,2.99594,8.73255
90,2.99923,8.73511
90.1,3.00271,8.73928
90.2,3.00615,8.74351
90.3,3.00924,8.74425
90.4,3.01278,8.74827
90.5,3.01606,8.75003
90.6,3.01931,8.75179
90.7,3.02264,8.75431
90.8,3.02601,8.75743
